Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Semiconductor Manufacture,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.2,1.3,1,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.7,0.7,0.7,0.7,0.7,0.9,0.7
,NF3,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6
,Semiconductor Manufacture,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6
,Total Emissions,6371,6315.6,6424.9,6532.1,6624.8,6710.1,6907.7,6968.5,7032.5,7071.5,7232,7116.8,7156.7,7199.3,7333.1,7339,7270.3,7370,7160.6,6709.4,6938.6,6787.4,6546,6710.2,6760,6623.8,6492.3,6456.7
,LULUCF Emissionsc,7.8,7.7,8.7,6.7,14,7.1,12.9,6.9,8.6,12.2,19.8,11.1,21.8,18,19.4,16,18.8,21.2,17.3,15,12.6,15.6,22.9,17.5,17.7,28.3,15.5,15.5
,LULUCF CH4 Emissions,5,4.9,5.4,4,8.3,4.2,7.5,4,5.1,7,11.5,6.1,12.5,10.2,11.1,9,10.6,12,9.8,8.5,7,8.6,13,9.9,10.1,16.5,8.8,8.8
,LULUCF N2O Emissions,2.8,2.8,3.3,2.6,5.7,2.9,5.4,2.9,3.5,5.1,8.4,5,9.3,7.8,8.3,7,8.2,9.2,7.4,6.5,5.6,7,9.9,7.6,7.7,11.8,6.7,6.7
,LULUCF Carbon Stock Changee,-814.8,-824.7,-802.3,-780.6,-816.3,-760.2,-799.8,-774.4,-774.3,-770.1,-787.3,-733.2,-743.8,-647.1,-687.5,-756.1,-757.3,-720.9,-671.5,-700.3,-682,-747.2,-749,-731,-687.8,-739.4,-738.1,-729.6
,LULUCF Sector Net Totalf,-807,-817.1,-793.5,-773.9,-802.3,-753.1,-786.9,-767.5,-765.7,-757.9,-767.4,-722.1,-722.1,-629.1,-668,-740,-738.5,-699.7,-654.2,-685.3,-669.4,-731.6,-726.1,-713.5,-670,-711.1,-722.6,-714.1
,Net Emissions (Sources and Sinks),5564,5498.5,5631.4,5758.2,5822.6,5957,6120.8,6200.9,6266.9,6313.6,6464.6,6394.7,6434.6,6570.1,6665,6599,6531.8,6670.2,6506.4,6024.1,6269.2,6055.8,5819.9,5996.8,6090,5912.7,5769.7,5742.6
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals.  Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c LULUCF emissions of CH4 and N2O are reported separately from gross emissions totals. LULUCF emissions include the CH4, and N2O emissions from Peatlands Remaining Peatlands; CH4 and N2O emissions reported for Non-CO2 Emissions from Forest Fires, Non-CO2 Emissions from Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f The LULUCF Sector Net Total is the net sum of all CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
