Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+
,Natural Gas Systems,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*
,Petroleum Systems,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,"HFCs, PFCs, SF6 and NF3",+,+,+,+,+,+,+,+,0.1,0.2,0.1,0.1,+,-0.2,-0.4,-0.6,-0.9,-1.2,-1.5,-2.4,-3.4,-4,-3.9,-4.8,-6.2,-7.1,-7.2,-1.6
,HFCs,+,+,+,+,+,+,+,+,0.1,0.2,0.1,+,-0.1,-0.2,-0.4,-0.6,-0.9,-1.2,-1.5,-1.7,-2.4,-3.2,-4.1,-5,-6.1,-6.9,-7.4,-1.5
,Substitution of Ozone Depleting Substances,+,+,+,+,+,+,+,+,0.1,0.2,0.1,+,-0.1,-0.2,-0.4,-0.6,-0.9,-1.2,-1.5,-1.7,-2.4,-3.3,-4.2,-5.1,-6.1,-6.9,-7.4,-1.5
,HCFC-22 Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,PFCs,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.2,0.2,0.2,+,+,+,+
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.2,0.2,0.2,+,+,+,+
