Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013a,2014a,2015a,2016a,2017a
Buses,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.2 ,0.2 ,0.5 ,0.3 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
Electricityl,3,3.0 ,3.0 ,3.0 ,3.1 ,3.1 ,3.1 ,3.1 ,3.2 ,3.2 ,3.4 ,3.6 ,3.5 ,4.3 ,4.5 ,4.7,4.5 ,5.1 ,4.7 ,4.5 ,4.5 ,4.3 ,4.0 ,4.3,4.5,4.3,4.2,4.3
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2,0.4,0.5,0.7,0.8
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1
Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Rail,3,3.0 ,3.0 ,3.0 ,3.1 ,3.1 ,3.1 ,3.1 ,3.2 ,3.2 ,3.4 ,3.6 ,3.5 ,4.3 ,4.5 ,4.7,4.5 ,5.1 ,4.7 ,4.5 ,4.5 ,4.3 ,3.9 ,4,4,3.7,3.5,3.4
Totalk,"1,472.10","1,425.5 ","1,480.7 ","1,511.7 ","1,556.9 ","1,583.5 ","1,630.2 ","1,646.4 ","1,681.8 ","1,749.2 ","1,782.8 ","1,762.1 ","1,803.3 ","1,796.8 ","1,841.7 ","1,861.70","1,857.3 ","1,859.9 ","1,764.9 ","1,692.0 ","1,701.9 ","1,681.5 ","1,670.5 ","1,686.90","1,726.00","1,738.20","1,783.20","1,804.90"
Total (Including Bunkers)f,"1,575.60","1,543.0 ","1,588.6 ","1,609.6 ","1,653.6 ","1,682.0 ","1,730.0 ","1,753.4 ","1,792.3 ","1,852.0 ","1,884.6 ","1,855.8 ","1,897.8 ","1,895.1 ","1,950.1 ","1,974.90","1,971.4 ","1,975.3 ","1,879.3 ","1,798.4 ","1,818.9 ","1,793.2 ","1,776.3 ","1,786.70","1,829.40","1,849.10","1,899.80","1,925.00"
Biofuels-Ethanoli,4.1,4.7 ,5.4 ,6.3 ,7.0 ,7.5 ,5.4 ,6.8 ,7.6 ,8.0 ,9.0 ,9.5 ,11.2 ,15.3 ,19.1 ,21.6,28.7 ,36.1 ,51.1 ,58.5 ,68.7 ,69.5 ,69.6 ,70.5,74,74.2,76.9,77.7
Biofuels-Biodieseli,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.1 ,0.3 ,0.9,2.5 ,3.3 ,2.9 ,3.0 ,2.5 ,8.3 ,8.5 ,13.5,13.3,14.1,19.6,18.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methods for estimating vehicle miles traveled (VMT) and related data. These methodological changes included how vehicles are classified, moving from a system based on body-type to one that is based on wheelbase. These changes were first incorporated for the 1990 through 2010 Inventory and apply to the 2007 through 2017 time period. This resulted in large changes in VMT and fuel consumption data by vehicle class, thus leading to a shift in emissions among on-road vehicle classes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table MF-21, MF-27, and VM-1 (FHWA 1996 through 2017). Table VM-1 fuel consumption data for 2017 has not been published yet, therefore 2017 fuel consumption data is estimated using the percent change in VMT from 2016 to 2017. Data from Table VM-1 is used to estimate the share of consumption between each on-road vehicle class. These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2017). TEDB data for 2017 has not been published yet, therefore 2016 data are used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes medium- and heavy-duty trucks over 8,500 lbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d In 2014, EPA incorporated the NONROAD2008 model into MOVES2014. The current Inventory uses the NONROAD component of MOVES2014b for years 1999 through 2017. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Note that large year over year fluctuations in emission estimates partially reflect nature of data collection for these sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Official estimates exclude emissions from the combustion of both aviation and marine international bunker fuels; however, estimates including international bunker fuel-related emissions are presented for informational purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Commercial aircraft, as modeled in FAA’s Aviation Environmental Design Tool (AEDT), consists of passenger aircraft, cargo, and other chartered flights. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Pipelines reflect CO2 emissions from natural gas-powered pipelines transporting natural gas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Ethanol and biodiesel estimates are presented for informational purposes only. See Section 3.11 of this chapter and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Transportation sector natural gas and LPG consumption are based on data from EIA (2019b). Prior to the 1990 through 2015 Inventory, data from DOE TEDB were used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy-duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in the 1990-2016 Inventory and apply to the 1990 to 2017 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
k Includes emissions from rail electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Electricity consumption by passenger cars, light-duty trucks (SUVs), and buses is based on plug-in electric vehicle sales and engine efficiency data, as outlined in Browning (2018a).  In prior Inventory years, CO2 emissions from electric vehicle charging were allocated to the residential and commercial sectors. They are now allocated to the transportation sector. These changes were first incorporated in this year’s Inventory and apply to the 2010 through 2017 time period.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: This table does not include emissions from non-transportation mobile sources, such as agricultural equipment and construction/mining equipment; it also does not include emissions associated with electricity consumption by pipelines or lubricants used in transportation. In addition, this table does not include CO2 emissions from U.S. Territories, since these are covered in a separate chapter of the Inventory. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
